acct_status_type,acct_session_id,acct_session_time,event_timestamp,ingest_timestamp,msisdn,imsi,imei,rat_type,framed_ip,nas_ip,mcc_mnc
Start,SESS_0000000000,0,2026-01-01T00:00:00Z,2026-01-01T00:00:02Z,+84970000000,452010000000000,356123030262257,E-UTRAN,10.100.0.1,192.168.1.1,452-01
Stop,SESS_0000000001,1,2026-01-01T21:36:00Z,2026-01-01T21:36:02Z,+84970000001,452010000000001,356123082567876,E-UTRAN,10.100.0.2,192.168.1.1,452-01
Start,SESS_0000000002,2,2026-01-02T19:12:00Z,2026-01-02T19:12:02Z,+84970000002,452010000000002,356123071463160,E-UTRAN,10.100.0.3,192.168.1.1,452-01
Stop,SESS_0000000003,3,2026-01-03T16:48:00Z,2026-01-03T16:48:02Z,+84970000003,452010000000003,356123037095700,E-UTRAN,10.100.0.4,192.168.1.1,452-01
Start,SESS_0000000004,4,2026-01-04T14:24:00Z,2026-01-04T14:24:02Z,+84970000004,452010000000004,356123170911614,E-UTRAN,10.100.0.5,192.168.1.1,452-01
Stop,SESS_0000000005,5,2026-01-05T12:00:00Z,2026-01-05T12:00:02Z,+84970000005,452010000000005,356123184424174,E-UTRAN,10.100.0.6,192.168.1.1,452-01
Start,SESS_0000000006,6,2026-01-06T09:36:00Z,2026-01-06T09:36:02Z,+84970000006,452010000000006,356123010312445,E-UTRAN,10.100.0.7,192.168.1.1,452-01
Stop,SESS_0000000007,7,2026-01-07T07:12:00Z,2026-01-07T07:12:02Z,+84970000007,452010000000007,356123022292585,E-UTRAN,10.100.0.8,192.168.1.1,452-01
Start,SESS_0000000008,8,2026-01-08T04:48:00Z,2026-01-08T04:48:02Z,+84970000008,452010000000008,356123075299032,E-UTRAN,10.100.0.9,192.168.1.1,452-01
Stop,SESS_0000000009,9,2026-01-09T02:24:00Z,2026-01-09T02:24:02Z,+84970000009,452010000000009,356123190278242,E-UTRAN,10.100.0.10,192.168.1.1,452-01
Start,SESS_0000000010,10,2026-01-10T00:00:00Z,2026-01-10T00:00:02Z,+84970000010,452010000000010,356123172084964,E-UTRAN,10.100.0.11,192.168.1.1,452-01
Stop,SESS_0000000011,11,2026-01-10T21:36:00Z,2026-01-10T21:36:02Z,+84970000011,452010000000011,356123174398982,E-UTRAN,10.100.0.12,192.168.1.1,452-01
Start,SESS_0000000012,12,2026-01-11T19:12:00Z,2026-01-11T19:12:02Z,+84970000012,452010000000012,356123074710294,E-UTRAN,10.100.0.13,192.168.1.1,452-01
Stop,SESS_0000000013,13,2026-01-12T16:48:00Z,2026-01-12T19:48:00Z,+84970000013,452010000000013,356123182917049,E-UTRAN,10.100.0.14,192.168.1.1,452-01
Start,SESS_0000000014,14,2026-01-13T14:24:00Z,2026-01-13T14:24:02Z,+84970000014,452010000000014,356123007956675,E-UTRAN,10.100.0.15,192.168.1.1,452-01
Stop,SESS_0000000015,15,2026-01-14T12:00:00Z,2026-01-14T12:00:02Z,+84970000015,452010000000015,356123057320525,E-UTRAN,10.100.0.16,192.168.1.1,452-01
Start,SESS_0000000016,16,2026-01-15T09:36:00Z,2026-01-15T09:36:02Z,+84970000016,452010000000016,356123133567784,E-UTRAN,10.100.0.17,192.168.1.1,452-01
Stop,SESS_0000000017,17,2026-01-16T07:12:00Z,2026-01-16T07:12:02Z,+84970000017,452010000000017,356123081630329,E-UTRAN,10.100.0.18,192.168.1.1,452-01
Start,SESS_0000000018,18,2026-01-17T04:48:00Z,2026-01-17T07:48:00Z,+84970000018,452010000000018,356123068005818,E-UTRAN,10.100.0.19,192.168.1.1,452-01
Stop,SESS_0000000019,19,2026-01-18T02:24:00Z,2026-01-18T02:24:02Z,+84970000019,452010000000019,356123101071751,E-UTRAN,10.100.0.20,192.168.1.1,452-01
Start,SESS_0000000020,20,2026-01-19T00:00:00Z,2026-01-19T00:00:02Z,+84970000020,452010000000020,356123023983828,E-UTRAN,10.100.0.21,192.168.1.1,452-01
Stop,SESS_0000000021,21,2026-01-19T21:36:00Z,2026-01-19T21:36:02Z,+84970000021,452010000000021,356123033764176,E-UTRAN,10.100.0.22,192.168.1.1,452-01
Start,SESS_0000000022,22,2026-01-20T19:12:00Z,2026-01-20T19:12:02Z,+84970000022,452010000000022,356123116330523,E-UTRAN,10.100.0.23,192.168.1.1,452-01
Stop,SESS_0000000023,23,2026-01-21T16:48:00Z,2026-01-21T16:48:02Z,+84970000023,452010000000023,356123088463351,E-UTRAN,10.100.0.24,192.168.1.1,452-01
Start,SESS_0000000024,24,2026-01-22T14:24:00Z,2026-01-22T14:24:02Z,+84970000024,452010000000024,356123017651795,E-UTRAN,10.100.0.25,192.168.1.1,452-01
