imsi,msisdn,status,mcc,mnc,operator,data_enabled,roaming_enabled,volte_enabled,registered_at,last_updated
452010000000000,+84970000000,active,452,01,Viettel,true,false,true,2022-11-24T11:00:00Z,2022-11-28T11:00:00Z
452010000000001,+84970000001,active,452,01,Viettel,true,false,true,2022-03-14T07:00:00Z,2022-03-28T07:00:00Z
452010000000002,+84970000002,active,452,01,Viettel,true,false,true,2022-02-15T02:00:00Z,2022-04-11T02:00:00Z
452010000000003,+84970000003,active,452,01,Viettel,true,false,true,2022-05-01T00:00:00Z,2022-07-18T00:00:00Z
452010000000004,+84970000004,active,452,01,Viettel,true,false,true,2022-11-30T06:00:00Z,2023-02-08T06:00:00Z
452010000000005,+84970000005,active,452,01,Viettel,true,false,true,2022-05-23T08:00:00Z,2022-08-29T08:00:00Z
452010000000006,+84970000006,active,452,01,Viettel,true,false,true,2022-06-24T16:00:00Z,2022-07-14T16:00:00Z
452010000000007,+84970000007,active,452,01,Viettel,true,false,true,2022-02-22T10:00:00Z,2022-04-12T10:00:00Z
452010000000008,+84970000008,active,452,01,Viettel,true,false,true,2022-11-06T16:00:00Z,2022-11-12T16:00:00Z
452010000000009,+84970000009,active,452,01,Viettel,true,false,true,2022-07-13T10:00:00Z,2022-09-22T10:00:00Z
452010000000010,+84970000010,active,452,01,Viettel,true,false,true,2022-07-06T02:00:00Z,2022-07-31T02:00:00Z
452010000000011,+84970000011,active,452,01,Viettel,true,false,true,2022-04-27T17:00:00Z,2022-05-08T17:00:00Z
452010000000012,+84970000012,active,452,01,Viettel,true,false,true,2022-07-14T16:00:00Z,2022-09-11T16:00:00Z
452010000000013,+84970000013,active,452,01,Viettel,true,false,true,2022-07-09T19:00:00Z,2022-08-05T19:00:00Z
452010000000014,+84970000014,active,452,01,Viettel,true,false,true,2022-12-17T04:00:00Z,2022-12-27T04:00:00Z
452010000000015,+84970000015,active,452,01,Viettel,true,false,true,2022-05-06T13:00:00Z,2022-07-05T13:00:00Z
452010000000016,+84970000016,active,452,01,Viettel,true,false,true,2022-11-25T06:00:00Z,2023-02-05T06:00:00Z
452010000000017,+84970000017,active,452,01,Viettel,true,false,true,2022-01-29T15:00:00Z,2022-02-03T15:00:00Z
